92-U-236(n,total fission) ENDF/B-VII.1
125.524,0.0136721
125.566,0.0115395
125.621,0.00969107
125.69,0.00817839
125.775,0.00691586
125.883,0.00580418
126.013,0.00488707
126.185,0.00406583
126.398,0.00338369
126.646,0.00284516
126.985,0.00234885
127.325,0.00200632
127.829,0.00165559
128.384,0.00138928
129.032,0.00117291
129.825,9.96358E-4
130.615,8.88728E-4
131.244,8.47189E-4
131.559,8.42816E-4
132.081,8.74736E-4
132.429,9.39473E-4
132.69,0.00102825
132.951,0.00117342
133.146,0.00134831
133.308,0.00157265
133.438,0.00183779
133.554,0.00218471
133.655,0.00262491
133.74,0.0031678
133.798,0.00372319
133.845,0.00437981
133.886,0.00525522
133.915,0.00618586
133.945,0.00757323
133.967,0.00907427
133.99,0.0111317
134.013,0.0139586
134.036,0.0178342
134.058,0.0231175
134.078,0.029329
134.101,0.038559
134.124,0.0507452
134.146,0.0666011
134.169,0.0869041
134.194,0.114922
134.222,0.156405
134.253,0.214168
134.29,0.299251
134.334,0.427183
134.458,0.84664
134.514,0.983943
134.564,1.03369
134.57,1.03428
134.617,0.998434
134.665,0.893302
134.741,0.647212
134.816,0.396108
134.858,0.27898
134.892,0.203386
134.923,0.148037
134.951,0.108505
134.977,0.0806997
135.0,0.0617703
135.023,0.0470453
135.045,0.0357671
135.068,0.0272506
135.091,0.0208983
135.114,0.0162101
135.136,0.0127762
135.159,0.0102726
135.182,0.00844825
135.209,0.00689213
135.237,0.0057858
135.272,0.00483942
135.307,0.00419375
135.354,0.00359786
135.417,0.00304672
135.501,0.00255122
135.603,0.00214741
135.732,0.00180409
135.878,0.00155888
136.003,0.0014241
136.169,0.00132035
136.336,0.00128734
136.519,0.00133326
136.641,0.00142473
136.763,0.00158943
136.874,0.00184317
136.956,0.00215604
137.014,0.00251067
137.055,0.00290877
137.089,0.00339027
137.119,0.00405248
137.145,0.00485375
137.17,0.005993
137.193,0.00742847
137.216,0.0094005
137.239,0.0120943
137.259,0.0152808
137.282,0.0200108
137.305,0.0262708
137.328,0.0344363
137.351,0.0449193
137.376,0.0598115
137.404,0.0808048
137.434,0.109971
137.47,0.152948
137.512,0.215804
137.592,0.360963
137.662,0.48249
137.716,0.54343
137.76,0.559789
137.806,0.541525
137.854,0.487745
137.928,0.360234
138.008,0.215333
138.05,0.152645
138.086,0.109785
138.116,0.0806895
138.144,0.0597381
138.169,0.0451942
138.194,0.0336259
138.217,0.0258263
138.239,0.0198013
138.262,0.0150959
138.284,0.0116658
138.306,0.00910952
138.328,0.00721921
138.351,0.00582813
138.373,0.004806
138.396,0.00401631
138.425,0.00333648
138.459,0.0027854
138.494,0.00241115
138.54,0.00206885
138.607,0.00173458
138.69,0.0014596
138.805,0.00119987
138.945,9.92014E-4
139.105,8.33328E-4
139.316,6.96484E-4
139.565,5.91485E-4
139.865,5.09871E-4
140.245,4.41317E-4
140.783,3.80615E-4
141.681,3.22139E-4
142.578,2.87106E-4
144.014,2.53359E-4
145.81,2.28045E-4
147.964,2.10306E-4
151.599,1.99312E-4
154.648,2.05044E-4
156.935,2.22551E-4
158.46,2.47432E-4
159.604,2.82338E-4
160.366,3.21947E-4
160.938,3.65348E-4
161.415,4.21783E-4
161.867,5.02611E-4
162.225,5.99504E-4
162.535,7.2656E-4
162.785,8.77968E-4
162.999,0.00106486
163.189,0.00130348
163.343,0.00158068
163.48,0.00193162
163.603,0.0023776
163.709,0.0029247
163.794,0.00355787
163.861,0.0042879
163.915,0.00516233
163.952,0.00602991
163.985,0.00715319
164.013,0.00851698
164.042,0.0104419
164.065,0.0126632
164.089,0.0156672
164.114,0.0199995
164.138,0.0257488
164.162,0.033503
164.187,0.0438628
164.211,0.0575441
164.237,0.0765082
164.264,0.102671
164.291,0.136538
164.321,0.185562
164.35,0.244789
164.383,0.328535
164.427,0.467257
164.485,0.693625
164.599,1.17612
164.662,1.36227
164.717,1.42383
164.72,1.424
164.774,1.37006
164.828,1.22119
164.914,0.867805
164.994,0.535314
165.039,0.381851
165.076,0.277416
165.11,0.203391
165.14,0.150528
165.169,0.11128
165.196,0.0831659
165.22,0.064095
165.243,0.0492657
165.268,0.0373216
165.293,0.0286126
165.317,0.0221266
165.341,0.0173356
165.365,0.0138148
165.393,0.0109622
165.42,0.00894289
165.45,0.00736587
165.487,0.00607523
165.523,0.00519111
165.572,0.00437733
165.638,0.00362951
165.719,0.003001
165.822,0.00244478
165.93,0.00202913
166.059,0.00167175
166.202,0.00139196
166.369,0.00115761
166.564,9.65262E-4
166.767,8.22726E-4
167.059,6.82123E-4
167.41,5.73595E-4
167.761,5.00706E-4
168.228,4.3756E-4
168.695,3.98386E-4
169.397,3.63053E-4
170.518,3.37899E-4
171.64,3.32534E-4
173.884,3.53472E-4
176.127,4.03128E-4
177.997,4.66335E-4
179.962,5.63898E-4
181.95,7.14548E-4
183.342,8.72065E-4
184.535,0.00106328
185.53,0.00128471
186.524,0.00159824
187.319,0.00195106
188.115,0.00243661
188.711,0.00295624
189.308,0.00368204
189.805,0.00453388
190.253,0.00560792
190.625,0.00684114
190.953,0.0083206
191.247,0.0101888
191.488,0.0123351
191.689,0.0148393
191.855,0.0177559
191.962,0.0204795
192.048,0.0237987
192.102,0.02711
192.145,0.0311799
192.184,0.0367327
192.216,0.0435224
192.249,0.0532353
192.281,0.0671034
192.31,0.0844594
192.339,0.107929
192.368,0.139227
192.398,0.182025
192.431,0.242929
192.464,0.321818
192.501,0.437317
192.54,0.586956
192.591,0.83781
192.673,1.3233
192.764,1.86233
192.828,2.1309
192.888,2.22584
192.891,2.226
192.952,2.13671
193.016,1.87489
193.182,0.908552
193.234,0.660837
193.279,0.490812
193.317,0.381852
193.354,0.302088
193.383,0.257081
193.417,0.221222
193.454,0.197664
193.483,0.189433
193.502,0.188235
193.541,0.195357
193.582,0.217334
193.62,0.252367
193.657,0.30335
193.691,0.370817
193.724,0.464888
193.758,0.594717
193.789,0.756581
193.821,0.97568
193.853,1.26175
193.889,1.67508
193.924,2.20674
193.964,2.96134
194.011,4.0859
194.073,5.91348
194.21,10.5284
194.282,12.2488
194.344,12.8376
194.35,12.8428
194.412,12.3467
194.48,10.7994
194.658,4.94397
194.713,3.4653
194.756,2.55638
194.796,1.8828
194.833,1.40979
194.866,1.08142
194.898,0.835046
194.93,0.645787
194.962,0.504284
194.995,0.39941
195.029,0.317901
195.065,0.257314
195.105,0.208169
195.151,0.169814
195.198,0.142329
195.259,0.117175
195.332,0.0962198
195.411,0.0800037
195.502,0.066291
195.611,0.0542522
195.749,0.0433969
195.891,0.0353943
196.07,0.0281983
196.265,0.0226505
196.471,0.0184216
196.727,0.0146962
196.987,0.0119903
197.27,0.00983415
197.595,0.00804645
197.984,0.00651388
198.439,0.00526223
198.943,0.00429662
199.486,0.0035785
200.142,0.00298263
200.814,0.00257394
201.486,0.00231078
202.407,0.00209161
203.174,0.00202869
203.557,0.00202404
204.373,0.00208477
205.189,0.00225019
205.945,0.00252119
206.701,0.00294873
207.363,0.00351607
207.93,0.00422445
208.456,0.00517169
208.882,0.00624997
209.28,0.0076503
209.658,0.00953347
209.975,0.0117664
210.245,0.0143986
210.509,0.0179731
210.725,0.0220532
210.914,0.0269366
211.074,0.0325398
211.241,0.0405746
211.383,0.050123
211.508,0.0618312
211.616,0.075916
211.71,0.0931192
211.791,0.113902
211.859,0.138463
211.918,0.169111
211.971,0.208757
212.018,0.25919
212.057,0.315664
212.096,0.394519
212.136,0.501844
212.175,0.647013
212.215,0.844768
212.256,1.10796
212.296,1.44759
212.345,1.97003
212.402,2.74628
212.481,4.08583
212.604,6.31079
212.677,7.24517
212.744,7.58475
212.75,7.58684
212.814,7.32022
212.885,6.47052
213.013,4.18996
213.091,2.85574
213.146,2.08378
213.196,1.52381
213.236,1.16833
213.277,0.891325
213.314,0.692907
213.355,0.532633
213.395,0.414686
213.432,0.336024
213.474,0.268497
213.517,0.219725
213.566,0.179688
213.614,0.150831
213.682,0.1224
213.763,0.0989403
213.847,0.0816663
213.948,0.0666777
214.066,0.0540894
214.202,0.0437525
214.364,0.0349244
214.546,0.02791
214.728,0.0228483
214.944,0.0184705
215.18,0.0149986
215.451,0.0121234
215.775,0.00965999
216.099,0.0078895
216.463,0.00643581
216.889,0.00520471
217.341,0.00425282
217.881,0.00343164
218.475,0.00278603
219.123,0.002276
219.879,0.00184961
220.755,0.0014984
221.756,0.00121991
222.675,0.00103608
223.733,8.86199E-4
224.791,7.87419E-4
225.585,7.47363E-4
226.114,7.39783E-4
226.802,7.70756E-4
227.26,8.39852E-4
227.604,9.43265E-4
227.89,0.00109258
228.096,0.0012661
228.274,0.0014996
228.422,0.00179937
228.535,0.00214698
228.611,0.00249113
228.677,0.00294709
228.724,0.00344738
228.766,0.00412677
228.803,0.00499652
228.833,0.00603442
228.863,0.00748795
228.891,0.0092912
228.918,0.0117318
228.946,0.0151595
228.975,0.019787
229.003,0.02597
229.031,0.0341314
229.06,0.0447592
229.089,0.0591318
229.122,0.079367
229.154,0.105212
229.19,0.142003
229.231,0.1935
229.279,0.270704
229.346,0.401664
229.49,0.712306
229.557,0.815239
229.623,0.857216
229.63,0.857626
229.69,0.82825
229.751,0.746505
229.846,0.551977
229.948,0.330534
230.001,0.236204
230.043,0.173987
230.082,0.1287
230.119,0.094245
230.152,0.0698965
