94-Pu-243(n,&gamma;) ENDF/B-VII.1
54.0877,91.8088
54.1235,104.017
54.1571,108.532
54.1598,108.556
54.1904,105.277
54.2266,93.9542
54.2855,65.7469
54.334,42.6279
54.3654,30.5906
54.392,22.6187
54.4153,17.2471
54.4376,13.3146
54.459,10.471
54.4804,8.34044
54.5032,6.66599
54.5289,5.31731
54.5574,4.27334
54.5859,3.54235
54.6221,2.8961
54.6582,2.44194
54.7034,2.03638
54.7542,1.71184
54.8136,1.44207
54.8849,1.2155
54.9681,1.03511
55.0632,0.898768
55.1583,0.811191
55.3009,0.741392
55.4094,0.725953
55.5358,0.744905
55.6622,0.808207
55.7797,0.921067
55.8797,1.07996
55.9629,1.28414
56.0319,1.53435
56.089,1.83233
56.1366,2.18357
56.1794,2.63262
56.2151,3.16795
56.2437,3.76897
56.2722,4.61379
56.2984,5.71581
56.3222,7.11969
56.346,9.06576
56.3669,11.381
56.3897,14.7387
56.4126,19.1685
56.4364,25.1277
56.463,33.5982
56.4982,47.631
56.5877,88.6603
56.6235,99.9958
56.6598,104.196
56.6931,100.625
56.7304,89.204
56.8023,56.3204
56.8446,38.0548
56.8755,27.4141
56.9022,20.3059
56.926,15.4502
56.9474,12.1105
56.9688,9.5699
56.9926,7.48202
57.015,6.05106
57.0406,4.86367
57.0692,3.93803
57.0999,3.24379
57.1315,2.7346
57.1767,2.22696
57.2219,1.87427
57.2786,1.56168
57.3499,1.29123
57.4213,1.10541
57.5165,0.938734
57.6116,0.831408
57.7068,0.763757
57.8557,0.714328
57.9094,0.710471
58.0355,0.729032
58.1616,0.790924
58.2789,0.901378
58.3789,1.05743
58.4623,1.25836
58.5313,1.50525
58.5885,1.80043
58.6361,2.15036
58.679,2.60135
58.7147,3.1439
58.7469,3.84984
58.7754,4.75678
58.798,5.757
58.8219,7.19708
58.8457,9.18397
58.8666,11.5323
58.8895,14.9108
58.9123,19.3264
58.9395,26.1419
58.9695,35.8183
59.0114,52.7292
59.0819,83.5818
59.1234,96.2941
59.1598,100.193
59.1931,96.879
59.2305,86.2448
59.2938,59.1263
59.3422,38.7687
59.3724,28.4456
59.3991,21.2319
59.4238,16.0505
59.4477,12.2692
59.4715,9.45333
59.4953,7.39146
59.5181,5.94587
59.541,4.88325
59.5696,3.9328
59.6003,3.22294
59.632,2.70589
59.6682,2.28158
59.7134,1.90436
59.7672,1.58931
59.8268,1.34363
59.8982,1.13701
59.9934,0.953727
60.0887,0.836136
60.2077,0.74778
60.3562,0.699667
60.4094,0.695957
60.5352,0.71413
60.6609,0.774675
60.7781,0.882846
60.8782,1.03623
60.9617,1.23412
61.0308,1.47796
61.088,1.77071
61.1356,2.1199
61.1785,2.57371
61.2143,3.12455
61.2465,3.84645
61.2751,4.77741
