91-Pa-231(n,total fission) ENDF/B-VII.1
11.0671,0.0038469
11.0832,0.00475358
11.0973,0.00581099
11.1114,0.00725241
11.1241,0.00902943
11.1367,0.0114399
11.1494,0.0146808
11.1635,0.019481
11.1783,0.026035
11.1987,0.0373769
11.2306,0.0561252
11.2465,0.0625765
11.2632,0.0649671
11.2784,0.0626007
11.2944,0.0558737
11.3188,0.04047
11.3418,0.0254364
11.3559,0.0178134
11.3671,0.0129349
11.377,0.00956838
11.3864,0.00708419
11.3948,0.00537744
11.4023,0.0042201
11.4094,0.00339501
11.4164,0.00278098
11.4227,0.00237942
11.4291,0.00209772
11.4333,0.00196704
11.4417,0.00182191
11.446,0.00180005
11.4556,0.00185951
11.4638,0.00201723
11.4735,0.0023251
11.484,0.00281632
11.4945,0.00350122
11.505,0.00443441
11.5155,0.00569877
11.526,0.00740959
11.5365,0.00971669
11.547,0.0128019
11.5575,0.0168684
11.568,0.0221187
11.5805,0.0301406
11.5948,0.0417659
11.6148,0.0618884
11.644,0.09287
11.6624,0.106735
11.6789,0.11159
11.6802,0.111617
11.6944,0.108511
11.709,0.0994358
11.733,0.0761863
11.761,0.0470877
11.776,0.0343171
11.7895,0.0252523
11.8,0.0197595
11.81,0.0156542
11.82,0.0124794
11.83,0.0100617
11.841,0.00808389
11.853,0.00653217
11.865,0.00543119
11.88,0.00448462
11.897,0.0037882
11.9139,0.00334915
11.9309,0.00309003
11.9546,0.00296673
11.9744,0.00306011
11.9999,0.00343261
12.05,0.00453666
12.0712,0.00473339
12.0898,0.00457068
12.1084,0.00407408
12.134,0.00301819
12.16,0.00189023
12.1746,0.00137597
12.1871,0.00103092
12.1981,8.04385E-4
12.2086,6.49862E-4
12.2183,5.52748E-4
12.2296,4.85522E-4
12.2386,4.58571E-4
12.2499,4.49327E-4
12.2681,4.71418E-4
12.3001,5.59394E-4
12.4728,0.00114087
12.5803,0.00157788
12.6704,0.00204834
12.7531,0.00262567
12.8184,0.00324583
12.8782,0.0040266
12.9257,0.00488698
12.9713,0.00605338
13.0062,0.00733981
13.0353,0.00889259
13.0563,0.0105167
13.0737,0.0124645
13.0877,0.0146789
13.1017,0.0178194
13.1141,0.0217656
13.1263,0.0271516
13.1385,0.0345296
13.1507,0.0444326
13.1637,0.0582661
13.1792,0.0796732
13.1982,0.112624
13.2394,0.191295
13.2598,0.219175
13.2806,0.232688
13.2886,0.234055
13.383,0.209634
13.4094,0.190501
13.432,0.160925
13.4809,0.080277
13.4984,0.0564779
13.512,0.0418675
13.524,0.0316453
13.5351,0.0242607
13.5455,0.0188334
13.5563,0.0145383
13.5667,0.0113667
13.5775,0.00889817
13.5883,0.00704033
13.6006,0.00546397
13.6135,0.00425423
13.6264,0.00336043
13.6412,0.00260311
13.656,0.00203875
13.6726,0.00156159
13.6892,0.00120136
13.7058,9.25007E-4
13.7224,7.11017E-4
13.739,5.44859E-4
13.7553,4.18521E-4
13.7722,3.19169E-4
13.787,2.53365E-4
13.8003,2.10113E-4
13.8112,1.84392E-4
13.8221,1.67317E-4
13.8351,1.58174E-4
13.8377,1.5784E-4
13.8475,1.61253E-4
13.8567,1.71575E-4
13.8682,1.95437E-4
13.8797,2.33824E-4
13.8901,2.84491E-4
13.9005,3.54641E-4
13.911,4.50481E-4
13.9214,5.80683E-4
13.9318,7.57019E-4
13.9407,9.56469E-4
13.9497,0.00121312
13.9601,0.0016038
13.9705,0.00211695
13.9812,0.00279713
