96-Cm-242(n,total fission) ENDF/B-VII.1
210.132,0.00212036
212.169,0.0023788
214.546,0.00277041
217.263,0.00339643
219.3,0.00407106
221.338,0.00503001
222.696,0.00591441
224.055,0.00710702
225.328,0.0086071
226.347,0.0102868
227.338,0.0125433
228.248,0.0154105
229.025,0.0188961
229.69,0.0230463
230.26,0.0279702
230.806,0.0345235
231.305,0.0430397
231.732,0.0534107
232.113,0.0664293
232.421,0.0812257
232.706,0.100161
232.95,0.122536
233.187,0.153
233.395,0.190702
233.561,0.232572
233.727,0.290956
233.864,0.358463
233.989,0.445034
234.081,0.533352
234.174,0.658358
234.25,0.803916
234.315,0.985877
234.372,1.21712
234.421,1.50881
234.464,1.86215
234.505,2.34281
234.542,2.92499
234.579,3.70202
234.618,4.81163
234.657,6.28045
234.697,8.19423
234.737,10.7144
234.784,14.482
234.839,19.9391
234.913,28.9764
235.048,46.9556
235.122,54.035
235.189,56.7986
235.2,56.8576
235.264,54.9248
235.328,49.5599
235.43,36.6854
235.537,22.6337
235.599,15.9956
235.646,11.9194
235.688,9.08272
235.73,6.86386
235.769,5.25828
235.808,4.04157
235.846,3.15788
235.884,2.50001
235.922,2.01292
235.966,1.60484
236.013,1.29412
236.067,1.05111
236.126,0.864039
236.195,0.713702
236.284,0.577563
236.387,0.467489
236.512,0.375276
236.655,0.301671
236.806,0.246262
236.993,0.197873
237.207,0.159425
237.421,0.132265
237.67,0.109674
237.967,0.0909742
238.323,0.0759661
238.707,0.0655304
239.141,0.0583171
239.663,0.0541163
240.01,0.053431
240.441,0.0546885
240.98,0.059757
241.412,0.0672513
241.836,0.0788741
242.188,0.09331
242.54,0.114476
242.827,0.139593
243.079,0.170729
243.316,0.212441
243.518,0.262788
243.683,0.320444
243.834,0.393206
243.969,0.483576
244.082,0.588735
244.179,0.712746
244.265,0.865659
244.343,1.0614
244.403,1.27856
244.455,1.53871
244.508,1.90521
244.553,2.35748
244.598,2.98287
244.639,3.74376
244.679,4.76258
244.722,6.22452
244.765,8.16784
244.808,10.6934
244.857,14.368
244.914,19.8053
244.99,28.8412
245.145,49.5798
245.222,56.9777
245.294,59.6694
245.299,59.6861
245.368,57.5753
245.444,50.8489
245.587,31.8546
245.669,21.587
245.728,15.6678
245.774,11.8735
245.818,9.09475
245.861,6.93381
245.901,5.38888
245.944,4.14311
245.987,3.22777
246.026,2.61797
246.071,2.09485
246.117,1.71705
246.168,1.40675
246.22,1.18282
246.292,0.961761
246.378,0.778918
246.468,0.644007
246.576,0.526779
246.702,0.428231
246.845,0.347252
247.018,0.278055
247.212,0.223045
247.438,0.177791
247.672,0.144517
247.923,0.118462
248.225,0.0958647
248.577,0.0771524
248.98,0.0621213
249.411,0.0507669
249.914,0.041372
250.432,0.0345064
251.036,0.0288229
251.74,0.0242284
252.516,0.0208159
253.292,0.018564
254.178,0.0170192
255.28,0.016278
256.22,0.0165204
257.16,0.0176786
258.112,0.0201023
258.945,0.0237282
259.61,0.028194
260.156,0.0335184
260.646,0.0402547
261.087,0.0487206
261.465,0.0587394
261.822,0.0718392
262.165,0.0895775
262.452,0.110505
262.697,0.135227
262.928,0.167498
263.124,0.2054
263.292,0.249752
263.446,0.305175
263.593,0.378541
263.719,0.46662
263.829,0.574754
263.925,0.707555
264.008,0.875183
264.075,1.07328
264.132,1.31606
264.183,1.61747
264.226,1.98013
264.264,2.40112
264.308,3.0563
264.351,3.95157
264.395,5.16168
264.437,6.69729
264.483,8.90118
