96-Cm-243(n,&gamma;) ENDF/B-VII.1
90.4148,2.92785
90.4915,2.71133
90.5558,2.65695
90.6507,2.74257
91.0004,3.57299
91.4247,4.30867
91.6191,4.70938
92.1094,6.43315
92.3109,7.52232
92.3623,7.60589
92.448,7.28559
92.5491,6.26861
92.6672,4.9415
92.7459,4.36583
92.8238,4.12606
92.8426,4.11266
92.9552,4.27753
93.1175,4.6309
93.1446,4.63726
93.2582,4.43013
93.4788,3.63116
93.5695,3.51363
93.6755,3.6408
93.8141,4.14985
94.139,5.61108
94.4242,6.62289
94.5396,7.35128
94.6916,8.99258
94.886,11.1543
95.043,12.7542
95.1294,14.3092
95.2329,17.238
95.3989,22.7016
95.4714,23.8849
95.4955,23.9587
95.5631,23.2223
95.6477,20.5832
95.8451,11.972
95.9296,9.09544
96.0021,7.26774
96.0782,5.8882
96.1543,4.93723
96.2177,4.39714
96.3018,3.96101
96.402,3.7791
96.5192,3.88359
96.6486,4.03068
96.737,3.9215
96.8552,3.47036
96.9972,2.85928
97.0684,2.68362
97.1297,2.63652
97.2199,2.74397
97.3481,3.15607
97.4835,3.58531
97.7184,3.86373
97.8143,4.15967
98.0779,5.55585
98.3132,6.19011
98.3912,6.78104
98.4681,7.83416
98.5924,10.3502
98.705,12.5213
98.8138,13.7024
98.947,14.7979
99.1125,16.6721
99.1297,16.7134
99.2012,16.1537
99.2726,14.3667
99.4502,7.85455
99.5139,6.05464
99.5742,4.81191
99.6318,3.9681
99.7037,3.22686
99.7912,2.58283
99.8861,2.0629
99.9698,1.73453
99.9849,1.68843
100.0,1.64629
100.0,6.58427
109.051,6.30008
117.64,6.06149
129.41,5.77418
140.162,5.54421
153.19,5.29887
168.495,5.04804
183.573,4.83246
200.0,4.62609
221.336,4.39258
245.726,4.16412
263.879,4.0152
287.441,3.8435
309.733,3.69941
338.156,3.53666
372.89,3.36382
